kills,deaths,assists,dealt,taken,heals,cs,vision,duration,win,opscore,dealt_per_minute,taken_per_minute,dealt_per_taken,champCode,id
6,9,18,27799,50327,8807,72,112,3135,1,2,0.1478,0.2676,0.5524,53,Blitzcrank
6,4,3,9042,9745,1128,11,38,1426,1,54,0.1057,0.1139,0.9279,1,Annie
4,2,8,11379,13939,5213,22,49,1626,1,48,0.1166,0.1429,0.8163,9,Fiddlesticks
7,3,13,19319,13059,4216,156,51,2277,1,32,0.1414,0.0956,1.4794,147,Seraphine
14,7,23,51678,23158,865,71,65,2401,1,8,0.3587,0.1608,2.2315,101,Xerath
4,0,4,6540,4904,517,24,37,1168,1,2,0.0933,0.0700,1.3336,53,Blitzcrank
0,13,10,16632,21764,70,22,42,1816,1,8,0.1526,0.1997,0.7642,101,Xerath
1,1,22,11114,28071,8003,40,83,2281,1,30,0.0812,0.2051,0.3959,201,Braum
5,1,12,7744,8811,4396,21,22,975,1,33,0.1324,0.1506,0.8789,26,Zilean
6,3,25,16079,14195,5462,21,58,1592,1,14,0.1683,0.1486,1.1327,25,Morgana
5,11,12,9999,25281,3681,36,103,1991,1,5,0.0837,0.2116,0.3955,555,Pyke
2,5,17,17828,31874,31584,25,105,2302,1,7,0.1291,0.2308,0.5593,235,Senna
1,3,16,12596,15752,1377,42,101,2329,1,4,0.0901,0.1127,0.7996,111,Nautilus
0,1,3,1092,2580,119,7,2,399,1,11,0.0456,0.1078,0.4233,89,Leona
0,3,16,7402,6598,4756,7,43,1744,1,9,0.0707,0.0631,1.1219,350,Yuumi
5,3,18,23743,12438,1074,65,97,2224,1,3,0.1779,0.0932,1.9089,99,Lux
1,10,6,14796,29069,942,125,30,2333,1,73,0.1057,0.2077,0.5090,34,Anivia
4,2,15,6850,9429,769,25,27,1110,1,1,0.1029,0.1416,0.7265,412,Thresh
7,4,9,19158,11197,880,73,83,1926,1,3,0.1658,0.0969,1.7110,99,Lux
5,1,13,22733,12989,1797,45,82,1841,1,34,0.2058,0.1176,1.7502,161,Velkoz
9,4,10,22744,26671,5104,37,81,1894,1,41,0.2001,0.2347,0.8528,54,Malphite
7,1,17,27266,8517,2909,32,49,1537,1,8,0.2957,0.0924,3.2014,101,Xerath
3,5,18,15540,25657,3322,36,86,1775,1,2,0.1459,0.2409,0.6057,53,Blitzcrank
4,8,17,36166,27519,2838,48,78,2042,1,17,0.2952,0.2246,1.3142,143,Zyra
6,4,12,23143,15021,2135,60,56,1776,1,72,0.2172,0.1410,1.5407,901,Smolder
7,3,8,17797,9811,190,32,32,1381,1,3,0.2148,0.1184,1.8140,99,Lux
2,6,12,12030,28154,5807,33,42,1748,1,15,0.1147,0.2684,0.4273,57,Maokai
1,2,16,5829,10762,29154,28,53,1458,1,24,0.0666,0.1230,0.5416,16,Soraka
0,0,0,466,246,17,0,0,122,1,5,0.0637,0.0336,1.8943,555,Pyke
2,7,16,6503,17092,1508,28,50,1446,1,11,0.0750,0.1970,0.3805,89,Leona
8,2,14,20670,17122,3432,56,81,1560,1,27,0.2208,0.1829,1.2072,80,Pantheon
6,8,15,22881,32430,6346,96,91,2326,1,44,0.1640,0.2324,0.7056,45,Veigar
6,9,16,14514,40837,23670,47,56,1693,1,39,0.1429,0.4020,0.3554,154,Zac
1,3,13,10100,13752,5143,14,57,1675,1,23,0.1005,0.1368,0.7344,267,Nami
5,7,17,15073,23045,3188,20,82,1929,1,10,0.1302,0.1991,0.6541,43,Karma
1,6,22,14734,24208,3927,31,68,1855,1,11,0.1324,0.2175,0.6086,89,Leona
1,3,24,15427,13079,2120,82,54,1595,1,18,0.1612,0.1367,1.1795,22,Ashe
3,5,4,7920,8766,455,24,41,1262,1,3,0.1046,0.1158,0.9035,99,Lux
2,4,18,7334,21117,7516,40,74,1815,1,6,0.0673,0.1939,0.3473,497,Rakan
0,2,8,2540,6560,476,19,14,986,1,1,0.0429,0.1109,0.3872,412,Thresh
2,0,1,3365,5186,2106,34,25,964,1,15,0.0582,0.0897,0.6489,57,Maokai
1,10,21,11834,34042,5335,19,69,2322,1,4,0.0849,0.2443,0.3476,111,Nautilus
0,0,1,489,588,16,1,0,160,1,46,0.0509,0.0613,0.8316,17,Teemo
11,1,27,29122,14778,11604,40,60,1570,1,29,0.3092,0.1569,1.9706,40,Janna
5,8,14,21731,43599,8249,189,97,2249,1,97,0.1610,0.3231,0.4984,27,Singed
4,10,20,9898,23266,7681,26,24,1854,1,29,0.0890,0.2092,0.4254,40,Janna
1,3,22,11220,21552,13162,34,33,1910,1,37,0.0979,0.1881,0.5206,37,Sona
6,3,23,27244,23082,8214,61,45,1658,1,14,0.2739,0.2320,1.1803,25,Morgana
0,7,7,15233,24906,5411,50,71,2229,1,21,0.1139,0.1862,0.6116,518,Neeko
3,5,16,7981,16281,870,20,50,1316,1,4,0.1011,0.2062,0.4902,111,Nautilus
14,2,9,39034,20651,2848,76,73,2259,1,41,0.2880,0.1524,1.8902,54,Malphite
5,10,18,18718,35334,868,54,68,2279,1,43,0.1369,0.2584,0.5297,32,Amumu
4,9,23,23223,22417,9754,25,73,1737,1,7,0.2228,0.2151,1.0360,235,Senna
4,13,28,21179,32166,11321,59,73,2151,1,7,0.1641,0.2492,0.6584,235,Senna
6,9,4,5540,16796,3228,40,47,1323,1,5,0.0698,0.2116,0.3298,555,Pyke
3,5,10,12399,20582,1420,27,67,1879,1,14,0.1100,0.1826,0.6024,25,Morgana
0,5,11,9451,20171,1968,22,73,1843,1,11,0.0855,0.1824,0.4685,89,Leona
5,1,16,7212,9819,1191,20,36,1264,1,4,0.0951,0.1295,0.7345,111,Nautilus
2,6,5,10226,16824,2597,36,46,1662,1,33,0.1025,0.1687,0.6078,26,Zilean
3,5,9,16712,13171,217,48,50,1844,1,3,0.1510,0.1190,1.2688,99,Lux
5,2,14,20821,11783,2121,80,66,1755,1,8,0.1977,0.1119,1.7670,101,Xerath
9,2,19,21764,17266,4090,28,67,1888,1,14,0.1921,0.1524,1.2605,25,Morgana
1,6,15,7255,18583,6954,31,96,1806,1,6,0.0670,0.1715,0.3904,497,Rakan
2,8,27,12355,39319,5908,37,87,2267,1,2,0.0908,0.2891,0.3142,53,Blitzcrank
4,5,26,15822,27441,21998,24,72,1781,1,13,0.1481,0.2568,0.5766,12,Alistar
1,3,13,10216,11916,8451,20,38,1337,1,7,0.1273,0.1485,0.8573,235,Senna
0,7,15,5865,24906,30042,26,51,1981,1,24,0.0493,0.2095,0.2355,16,Soraka
1,6,21,8577,32830,4078,29,88,2409,1,11,0.0593,0.2271,0.2613,89,Leona
6,15,16,23282,32748,10434,31,83,2424,1,7,0.1601,0.2252,0.7109,235,Senna
